1275144700, 52.0455, 1.14343, 15893.6
1275144750, 52.0444, 1.15351, 15300.1
1275144800, 52.0427, 1.16438, 14733.2
1275144850, 52.0406, 1.17601, 14190.4
1275144900, 52.0381, 1.18835, 13669.7
1275144950, 52.035, 1.20176, 13169.6
1275145000, 52.0312, 1.21661, 12688.3
1275145050, 52.0267, 1.23285, 12224.6
1275145100, 52.0216, 1.25043, 11777.2
1275145150, 52.0158, 1.26915, 11344.9
1275145200, 52.0092, 1.28886, 10926.8
1275145250, 52.002, 1.30952, 10520.2
1275145300, 51.9942, 1.33094, 10123.7
1275145350, 51.9866, 1.35246, 9736.79
1275145400, 51.9793, 1.374, 9358.83
1275145450, 51.9723, 1.3954, 8989.35
1275145500, 51.9662, 1.4157, 8627.9
1275145550, 51.9611, 1.43477, 8274.06
1275145600, 51.9569, 1.45286, 7927.46
1275145650, 51.9537, 1.4708, 7587.72
1275145700, 51.9515, 1.4887, 7254.54
1275145750, 51.95, 1.50623, 6927.59
1275145800, 51.9487, 1.52288, 6606.61
1275145850, 51.9477, 1.53864, 6291.33
1275145900, 51.9465, 1.5534, 5981.5
1275145950, 51.9453, 1.56712, 5676.91
1275146000, 51.9439, 1.57992, 5377.33
1275146050, 51.9428, 1.59209, 5082.57
1275146100, 51.9418, 1.60364, 4792.44
1275146150, 51.9409, 1.61459, 4506.76
1275146200, 51.9398, 1.62495, 4225.38
1275146250, 51.9386, 1.63456, 3948.12
1275146300, 51.9373, 1.64329, 3674.86
1275146350, 51.9359, 1.65116, 3405.44
1275146400, 51.9346, 1.6582, 3139.74
1275146450, 51.9333, 1.6645, 2877.63
1275146500, 51.9321, 1.67048, 2619
1275146550, 51.9311, 1.67625, 2363.73
1275146600, 51.9301, 1.68234, 2111.71
1275146650, 51.9293, 1.68875, 1862.86
1275146700, 51.9287, 1.69519, 1617.07
1275146750, 51.9284, 1.70154, 1374.24
1275146800, 51.9283, 1.70751, 1134.3
1275146850, 51.9283, 1.71302, 897.156
1275146900, 51.9286, 1.71795, 662.733
1275146950, 51.9293, 1.7222, 430.954
1275147000, 51.9303, 1.72566, 201.748
